For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.27%       1.994ms         3.29%       2.002ms     133.467us            15            --  
              aten::as_strided         0.05%      29.000us         0.05%      29.000us       0.806us            36            --  
                  aten::select         0.07%      40.000us         0.07%      45.000us       3.750us            12            --  
                   aten::clamp         2.60%       1.583ms         4.98%       3.036ms       1.518ms             2            --  
                      aten::to         0.07%      41.000us         2.41%       1.468ms     293.600us             5            --  
                aten::_to_copy         0.54%     329.000us         2.34%       1.427ms     285.400us             5            --  
           aten::empty_strided         0.55%     336.000us         0.55%     336.000us      67.200us             5            --  
                   aten::copy_         1.25%     762.000us         1.25%     762.000us     152.400us             5            --  
                    aten::item         0.06%      36.000us         0.56%     343.000us     343.000us             1            --  
     aten::_local_scalar_dense         0.50%     307.000us         0.50%     307.000us     307.000us             1            --  
                     aten::mul         2.51%       1.527ms         2.53%       1.542ms       1.542ms             1       100.000  
                     aten::sub         1.92%       1.170ms         1.92%       1.170ms     585.000us             2            --  
                     aten::min         3.11%       1.893ms         3.17%       1.929ms       1.929ms             1            --  
                   aten::empty         0.05%      28.000us         0.05%      28.000us       2.154us            13            --  
                   aten::fill_         0.05%      32.000us         0.05%      32.000us      32.000us             1            --  
                     aten::pad         1.39%     844.000us         3.55%       2.163ms     540.750us             4            --  
        aten::reflection_pad2d         2.09%       1.274ms         2.17%       1.319ms     329.750us             4            --  
                 aten::resize_         0.07%      44.000us         0.07%      44.000us       8.800us             5            --  
                  aten::conv2d         2.76%       1.683ms        74.22%      45.209ms      11.302ms             4            --  
               aten::unsqueeze         1.43%     869.000us         1.44%     878.000us     175.600us             5            --  
             aten::convolution         4.99%       3.038ms        68.78%      41.897ms      10.474ms             4            --  
            aten::_convolution         4.19%       2.552ms        63.79%      38.859ms       9.715ms             4            --  
       aten::_nnpack_available         0.84%     511.000us         0.84%     511.000us     511.000us             1            --  
             aten::thnn_conv2d         0.97%     592.000us        16.05%       9.774ms       9.774ms             1            --  
    aten::_slow_conv2d_forward        15.03%       9.154ms        15.07%       9.182ms       9.182ms             1            --  
                    aten::view         0.02%      14.000us         0.02%      14.000us      14.000us             1            --  
                 aten::squeeze         1.24%     757.000us         1.25%     764.000us     191.000us             4            --  
                    aten::relu         1.75%       1.067ms         2.55%       1.552ms     388.000us             4            --  
               aten::clamp_min         0.80%     485.000us         0.80%     485.000us     121.250us             4            --  
      aten::mkldnn_convolution        42.18%      25.697ms        42.72%      26.022ms       8.674ms             3            --  
             aten::as_strided_         0.52%     316.000us         0.52%     316.000us     105.333us             3            --  
                     aten::add         0.55%     333.000us         0.55%     333.000us     333.000us             1       100.000  
                     aten::cat         1.75%       1.067ms         2.60%       1.586ms       1.586ms             1            --  
                  aten::narrow         0.84%     512.000us         0.85%     519.000us     129.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 60.916ms



For N = 20 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.98%      56.000us         3.14%      59.000us       3.933us            15            --  
              aten::as_strided         0.85%      16.000us         0.85%      16.000us       0.444us            36            --  
                  aten::select         2.02%      38.000us         2.24%      42.000us       3.500us            12            --  
                   aten::clamp         1.39%      26.000us         2.98%      56.000us      28.000us             2            --  
                      aten::to         0.37%       7.000us         1.81%      34.000us       6.800us             5            --  
                aten::_to_copy         0.80%      15.000us         1.44%      27.000us       5.400us             5            --  
           aten::empty_strided         0.32%       6.000us         0.32%       6.000us       1.200us             5            --  
                   aten::copy_         0.32%       6.000us         0.32%       6.000us       1.200us             5            --  
                    aten::item         0.11%       2.000us         0.11%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         0.43%       8.000us         0.64%      12.000us      12.000us             1       400.000  
                     aten::sub         0.32%       6.000us         0.32%       6.000us       3.000us             2            --  
                     aten::min         0.43%       8.000us         0.48%       9.000us       9.000us             1            --  
                   aten::empty         0.80%      15.000us         0.80%      15.000us       1.154us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.53%      10.000us         2.50%      47.000us      11.750us             4            --  
        aten::reflection_pad2d         1.55%      29.000us         1.97%      37.000us       9.250us             4            --  
                 aten::resize_         0.27%       5.000us         0.27%       5.000us       1.000us             5            --  
                  aten::conv2d         1.33%      25.000us        83.22%       1.562ms     390.500us             4            --  
               aten::unsqueeze         1.28%      24.000us         1.49%      28.000us       5.600us             5            --  
             aten::convolution         2.24%      42.000us        79.01%       1.483ms     370.750us             4            --  
            aten::_convolution         1.81%      34.000us        76.77%       1.441ms     360.250us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.21%       4.000us         3.36%      63.000us      63.000us             1            --  
    aten::_slow_conv2d_forward         2.98%      56.000us         3.14%      59.000us      59.000us             1            --  
                    aten::view         0.05%       1.000us         0.05%       1.000us       1.000us             1            --  
                 aten::squeeze         1.39%      26.000us         1.60%      30.000us       7.500us             4            --  
                    aten::relu         1.23%      23.000us         2.13%      40.000us      10.000us             4            --  
               aten::clamp_min         0.91%      17.000us         0.91%      17.000us       4.250us             4            --  
      aten::mkldnn_convolution        70.75%       1.328ms        71.60%       1.344ms     448.000us             3            --  
             aten::as_strided_         0.37%       7.000us         0.37%       7.000us       2.333us             3            --  
                     aten::add         0.43%       8.000us         0.43%       8.000us       8.000us             1       400.000  
                     aten::cat         1.23%      23.000us         1.86%      35.000us      35.000us             1            --  
                  aten::narrow         0.32%       6.000us         0.64%      12.000us       3.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.877ms



For N = 30 | Num optimizer steps = 1
