For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         3.11%       7.743ms         3.89%       9.690ms       1.995us          4857            --  
                                            aten::empty         0.92%       2.301ms         0.92%       2.301ms       0.401us          5745            --  
                                            aten::zero_         0.01%      21.000us         0.01%      21.000us       0.004us          5282            --  
                                              aten::add         4.11%      10.230ms         4.15%      10.339ms       4.243us          2437       242.920  
                                               aten::to         0.62%       1.551ms         3.01%       7.498ms       4.149us          1807            --  
                                         aten::_to_copy         1.50%       3.725ms         2.54%       6.329ms       4.674us          1354            --  
                                    aten::empty_strided         0.71%       1.756ms         0.71%       1.756ms       0.979us          1794            --  
                                            aten::copy_         3.80%       9.463ms         3.80%       9.463ms       1.137us          8326            --  
                                              aten::div         0.36%     900.000us         0.37%     927.000us     132.429us             7            --  
                                            aten::slice        18.64%      46.421ms        19.16%      47.705ms       2.802us         17024            --  
                                       aten::as_strided         0.88%       2.203ms         0.88%       2.203ms       0.125us         17594            --  
                                           aten::select         0.14%     359.000us         0.15%     374.000us       3.495us           107            --  
                                            aten::clone         0.71%       1.778ms         1.03%       2.559ms       5.856us           437            --  
                                              aten::sub         1.28%       3.196ms         1.33%       3.322ms       3.908us           850            --  
                                              aten::mul         2.78%       6.923ms         5.88%      14.636ms      11.173us          1310       125.169  
                                         aten::allclose         0.51%       1.271ms         5.80%      14.438ms       1.444ms            10            --  
                                          aten::isclose         0.77%       1.923ms         4.33%      10.786ms       1.079ms            10            --  
                                               aten::eq         0.52%       1.283ms         0.52%       1.283ms      64.150us            20            --  
                                              aten::abs         0.49%       1.219ms         0.76%       1.904ms      31.733us            60            --  
                                         aten::isfinite         0.28%     703.000us         0.68%       1.686ms     168.600us            10            --  
                                               aten::ne         0.36%     887.000us         0.37%     928.000us      92.800us            10            --  
                                               aten::le         0.36%     899.000us         0.36%     899.000us      89.900us            10            --  
                                         aten::__iand__         0.13%     314.000us         0.54%       1.349ms     134.900us            10            --  
                                     aten::bitwise_and_         0.42%       1.039ms         0.42%       1.039ms     103.900us            10            --  
                                          aten::__ior__         0.13%     327.000us         0.44%       1.103ms     110.300us            10            --  
                                      aten::bitwise_or_         0.31%     776.000us         0.31%     776.000us      77.600us            10            --  
                                              aten::all         0.95%       2.355ms         0.95%       2.363ms     236.300us            10            --  
                                            aten::fill_         0.00%       2.000us         0.00%       2.000us       0.154us            13            --  
                                             aten::item         0.01%      25.000us         0.01%      25.000us       1.786us            14            --  
                              aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us            14            --  
                                       aten::zeros_like         0.30%     755.000us         0.56%       1.387ms       3.318us           418            --  
                                       aten::empty_like         0.36%     896.000us         0.48%       1.195ms       1.419us           842            --  
                                               aten::lt         0.48%       1.193ms         0.50%       1.236ms     123.600us            10            --  
                                               aten::gt         0.37%     928.000us         0.39%     970.000us      97.000us            10            --  
                                              aten::pow         0.79%       1.956ms         0.79%       1.958ms      57.588us            34            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         0.51%       1.279ms         0.51%       1.279ms       0.781us          1638            --  
                                             aten::mean         0.59%       1.471ms         1.00%       2.491ms       1.246ms             2            --  
                                              aten::sum         0.39%     971.000us         0.39%     974.000us     487.000us             2            --  
                                             aten::div_         0.01%      20.000us         0.02%      46.000us      23.000us             2            --  
                                        aten::ones_like         0.01%      16.000us         0.01%      23.000us      23.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.16%     392.000us         1.17%       2.915ms       2.915ms             1            --  
                                          MeanBackward0         0.62%       1.545ms         1.01%       2.523ms       2.523ms             1            --  
                                           aten::expand         0.26%     640.000us         0.26%     644.000us     644.000us             1            --  
autograd::engine::evaluate_function: torch::autograd...         1.34%       3.338ms         5.98%      14.888ms      35.448us           420            --  
                            torch::autograd::CopySlices         1.85%       4.610ms         4.63%      11.542ms      27.481us           420            --  
                                aten::new_empty_strided         0.22%     560.000us         0.39%     982.000us       2.338us           420            --  
                         torch::autograd::CopyBackwards         0.46%       1.137ms         0.89%       2.209ms       5.323us           415            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.01%      30.000us         0.79%       1.972ms     394.400us             5            --  
                                     AsStridedBackward0         0.62%       1.556ms         0.78%       1.933ms     386.600us             5            --  
                                          aten::squeeze         0.01%      29.000us         0.01%      32.000us       5.333us             6            --  
                                        aten::new_zeros         0.13%     322.000us         0.13%     332.000us      66.400us             5            --  
                                        aten::new_empty         0.00%       3.000us         0.00%      10.000us       2.000us             5            --  
                                           AddBackward0         0.04%     111.000us         0.04%     111.000us       0.092us          1213            --  
      autograd::engine::evaluate_function: MulBackward0         0.38%     946.000us         2.31%       5.747ms      13.683us           420            --  
                                           MulBackward0         0.43%       1.078ms         1.90%       4.722ms      11.243us           420            --  
      autograd::engine::evaluate_function: PowBackward0         0.02%      47.000us         0.31%     774.000us      77.400us            10            --  
                                           PowBackward0         0.13%     314.000us         0.29%     727.000us      72.700us            10            --  
      autograd::engine::evaluate_function: SubBackward0         0.29%     719.000us         0.29%     733.000us       1.762us           416            --  
                                           SubBackward0         0.00%       9.000us         0.00%       9.000us       0.022us           416            --  
autograd::engine::evaluate_function: SelectBackward0...         0.01%      28.000us         0.44%       1.107ms      92.250us            12            --  
                                        SelectBackward0         0.15%     365.000us         0.43%       1.079ms      89.917us            12            --  
                                  aten::select_backward         0.25%     634.000us         0.29%     713.000us      59.417us            12            --  
    autograd::engine::evaluate_function: SliceBackward0         4.46%      11.116ms        21.53%      53.616ms      11.082us          4838            --  
                                         SliceBackward0         3.30%       8.209ms        16.28%      40.543ms       8.380us          4838            --  
                                   aten::slice_backward         6.82%      16.993ms        13.49%      33.585ms       6.942us          4838            --  
      autograd::engine::evaluate_function: AddBackward0         1.43%       3.552ms         1.46%       3.634ms       3.006us          1209            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                          aten::detach_         0.00%       2.000us         0.00%       2.000us       1.000us             2            --  
                                                detach_         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                           aten::linear         0.37%     916.000us         2.06%       5.126ms       2.563ms             2            --  
                                                aten::t         0.56%       1.392ms         0.57%       1.427ms     713.500us             2            --  
                                        aten::transpose         0.16%     395.000us         0.16%     402.000us      67.000us             6            --  
                                           aten::matmul         0.22%     545.000us         1.11%       2.771ms       1.385ms             2            --  
                                        aten::unsqueeze         0.00%      11.000us         0.01%      14.000us       4.667us             3            --  
                                               aten::mm         0.63%       1.567ms         0.63%       1.567ms     783.500us             2            --  
                                         aten::squeeze_         0.26%     647.000us         0.26%     650.000us     325.000us             2            --  
                                      aten::as_strided_         0.00%       3.000us         0.00%       3.000us       1.500us             2            --  
                                             aten::rsub         0.25%     615.000us         0.27%     661.000us     132.200us             5            --  
                                             aten::sqrt         0.41%       1.024ms         0.41%       1.024ms     512.000us             2            --  
                                              aten::cat         0.15%     378.000us         0.15%     378.000us      75.600us             5            --  
                                           aten::conv2d         0.00%      10.000us         2.74%       6.819ms       2.273ms             3        43.200  
                                      aten::convolution         0.02%      45.000us         2.73%       6.809ms       2.270ms             3            --  
                                     aten::_convolution         0.01%      32.000us         2.72%       6.764ms       2.255ms             3            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             3            --  
                                      aten::thnn_conv2d         0.00%       9.000us         2.70%       6.717ms       2.239ms             3            --  
                             aten::_slow_conv2d_forward         2.38%       5.932ms         2.69%       6.708ms       2.236ms             3            --  
                                             aten::view         0.52%       1.297ms         0.52%       1.297ms     129.700us            10            --  
                                          aten::resize_         0.00%       7.000us         0.00%       7.000us       1.750us             4            --  
                                          aten::reshape         0.16%     410.000us         0.30%     754.000us     377.000us             2            --  
                                   aten::_reshape_alias         0.14%     344.000us         0.14%     344.000us     172.000us             2            --  
                                             aten::relu         0.01%      33.000us         0.02%      62.000us      12.400us             5            --  
                                        aten::clamp_min         0.01%      29.000us         0.01%      29.000us       5.800us             5            --  
                                          aten::permute         0.59%       1.476ms         0.60%       1.488ms     372.000us             4            --  
                                             aten::lstm         1.16%       2.901ms        20.84%      51.899ms      25.950ms             2            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                       aten::contiguous         0.00%       4.000us         0.02%      55.000us      18.333us             3            --  
                                 aten::mkldnn_rnn_layer        19.22%      47.866ms        19.23%      47.895ms      23.948ms             2            --  
                                            aten::stack         0.27%     666.000us         0.27%     684.000us     171.000us             4            --  
                                              aten::pad         0.00%       3.000us         0.05%     132.000us     132.000us             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 249.025ms



For N = 20 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
