i,N,alpha,lb_y,ub_y,lb_u,ub_u,d_const,target_profile_equation,cost
0,87,0.01,-1e+20,-2.612594229001764,-4.259463328047442,-1.0393664511966048,0,"-4+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)+sin(5*pi*x2+pi/1)*sin(5*pi*x2+pi/1)",0.1972273588180542
1,22,0.01,-1e+20,1.5450339905222954,1.175075656639705,2.4648839860042906,0,"1+sin(4*pi*x2+pi/5)*sin(4*pi*x2+pi/5)",0.1014929711818695
2,56,0.01,-1e+20,-0.1497930844607337,-0.42455372326228,-0.14404582762615276,-40,"3*x1*x1+-3*x1",0.12992289662361145
3,19,0.01,-1e+20,-0.45029983088064945,-0.5913424456032195,-0.025995348862703604,-20,"0*x2*x2+-1*x2",0.05946539714932442
4,65,0.01,-1e+20,0.7179350805155985,0.1769795313242548,0.6188887509724953,-30,"sin(1*pi*x2+pi/5)*sin(1*pi*x2+pi/5)",0.13432499766349792
5,88,0.01,-1e+20,-1.2360675127903566,-1.6254431139414711,-0.8974656005874602,-10,"-2+sin(3*pi*x1+pi/3)*sin(3*pi*x1+pi/3)",0.1527654230594635
6,63,0.01,-1e+20,-0.09527343613285738,-1.0662993238011884,0.9167821431530112,0,"4*x2*x2+-4*x2+sin(2*pi*x1+pi/3)*sin(2*pi*x1+pi/3)",0.15288729965686798
7,55,0.01,-1e+20,0.6042611302397872,0.3303887453324186,0.7303323586423941,-20,"sin(1*pi*x1+pi/3)*sin(1*pi*x1+pi/3)",0.11161104589700699
8,19,0.01,-1e+20,-2.5483161123680724,-3.1274140075363044,-2.4754850160079145,-40,"-3+sin(1*pi*x2+pi/6)*sin(1*pi*x2+pi/6)",0.1252814531326294
9,49,0.01,-1e+20,1.264592900567341,-6.460371482391896,1.4382349347786807,0,"-3*x2*x2+-3*x2+sin(2*pi*x1+pi/3)*sin(2*pi*x1+pi/3)+sin(2*pi*x2+pi/2)*sin(2*pi*x2+pi/2)",0.1711593121290207
10,26,0.01,-1e+20,-4.370675099490409,-5.079588446270589,-3.5750451496879903,-40,"-5+sin(1*pi*x1+pi/2)*sin(1*pi*x1+pi/2)",0.16619694232940674
11,51,0.01,-1e+20,0.9583303672988903,0.292208894618879,0.7656815603881515,-40,"sin(4*pi*x2+pi/1)*sin(4*pi*x2+pi/1)",0.18394975364208221
12,45,0.01,-1e+20,-4.3213119354808,-4.609438191491245,-3.7900352821034566,-30,"-5+sin(1*pi*x1+pi/1)*sin(1*pi*x1+pi/1)",0.15760666131973267
13,23,0.01,-1e+20,-0.5829323906046834,-0.7032234058274095,-0.20107424912373228,-20,"-1+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)",0.14432767033576965
14,27,0.01,-1e+20,5.6333812509145815,4.994752600676068,5.9793101343594,-30,"5+sin(4*pi*x1+pi/6)*sin(4*pi*x1+pi/6)",0.13667114078998566
15,51,0.01,-1e+20,2.022971358766025,2.0390441388064175,2.7647335719610497,-10,"2+0*x1*x1+-1*x1+sin(1*pi*x1+pi/2)*sin(1*pi*x1+pi/2)",0.14507776498794556
16,19,0.01,-1e+20,1.3669528420007744,-0.6841246624058436,1.1034400854730235,0,"sin(4*pi*x1+pi/1)*sin(4*pi*x1+pi/1)+sin(4*pi*x2+pi/4)*sin(4*pi*x2+pi/4)",0.19350692629814148
17,94,0.01,-1e+20,5.0130198083279325,-2.2905341250680644,7.423700208872569,-20,"3*x1*x1+3*x1+sin(1*pi*x1+pi/1)*sin(1*pi*x1+pi/1)",0.14520162343978882
18,79,0.01,-1e+20,1.204486526602581,-1.6148165218361414,0.8851599451790737,-10,"5*x1*x1+-3*x1",0.16718371212482452
19,58,0.01,-1e+20,0.04373595093332644,-3.134023781552732,0.2237436903996246,-10,"-5*x1*x1+2*x1",0.01865270733833313
20,61,0.01,-1e+20,2.060684053607906,-0.6353168439019818,2.9067526007591376,0,"2*x2*x2+1*x2",0.07266896963119507
21,78,0.01,-1e+20,2.736610706974662,1.6299430531177856,2.995007095475229,0,"3+5*x2*x2+-5*x2",0.05603587627410889
22,82,0.01,-1e+20,0.8906763875663097,0.10084213384040008,1.4873342042146134,0,"0*x1*x1+0*x1+sin(3*pi*x1+pi/3)*sin(3*pi*x1+pi/3)",0.09412378072738647
23,28,0.01,-1e+20,-4.283840921279719,-4.55371226330188,-3.683434351435753,-20,"-5+sin(1*pi*x2+pi/6)*sin(1*pi*x2+pi/6)",0.12157624959945679
24,88,0.01,-1e+20,0.36903063630573146,-0.07570794836903738,1.0994811568303895,-40,"1*x2*x2+-1*x2+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)",0.1519612967967987
25,13,0.01,-1e+20,-0.21925501934381597,-0.8644246215316205,-0.3716300945577773,-10,"3*x2*x2+-3*x2",0.08579537272453308
26,24,0.01,-1e+20,3.7025117001509646,2.627845714617853,4.491296081505555,-50,"3+sin(1*pi*x2+pi/3)*sin(1*pi*x2+pi/3)",0.19361448287963867
27,12,0.01,-1e+20,2.6399619073254943,-1.1642927622869332,3.3344225618473,-10,"0*x1*x1+3*x1",0.026876451447606087
28,71,0.01,-1e+20,0.8149880248695247,-2.7506640206306305,0.45022644327504313,0,"4*x1*x1+-4*x1+-1*x2*x2+-1*x2+sin(5*pi*x1+pi/3)*sin(5*pi*x1+pi/3)+sin(1*pi*x2+pi/5)*sin(1*pi*x2+pi/5)",0.1715649962425232
