i,costIPOPT,minNetCost,minNetCostIndex,maxNetCost,maxNetCostIndex
0,0.1972273588180542,0.20623499155044556,12,65706.65625,0
1,0.1014929711818695,0.11326681077480316,43,2111.580322265625,0
2,0.1299228966236114,2579.661376953125,93,32632.876953125,0
3,0.0594653971493244,1470.7857666015625,96,15525.154296875,0
4,0.1343249976634979,869.6486206054688,96,5034.57275390625,0
5,0.1527654230594635,28.353015899658203,98,25365.57421875,0
6,0.1528872996568679,0.20398935675621033,99,190.46023559570312,2
7,0.1116110458970069,519.6358642578125,97,1688.571044921875,2
8,0.1252814531326294,4585.5986328125,96,165366.671875,0
9,0.1711593121290207,0.2509690821170807,19,12.414766311645508,2
10,0.1661969423294067,3214.837890625,95,333751.5,0
11,0.1839497536420822,1980.3118896484375,96,9153.033203125,0
12,0.1576066613197326,1581.1246337890625,99,289964.71875,0
13,0.1443276703357696,1319.9542236328125,93,18533.06640625,0
14,0.1366711407899856,1526.4708251953125,99,32053.798828125,0
15,0.1450777649879455,224.10595703125,99,3022.205810546875,0
16,0.1935069262981414,0.205078125,1,1693.6212158203125,2
17,0.1452016234397888,0.19586297869682312,99,262.8283386230469,6
18,0.1671837121248245,0.20384348928928375,99,4.3665571212768555,5
19,0.0186527073383331,0.12585456669330597,10,1472.3284912109375,0
20,0.072668969631195,0.16296596825122833,2,275.3446350097656,3
21,0.0560358762741088,0.06116020306944847,99,1632.977294921875,4
22,0.0941237807273864,0.10917798429727554,10,307.56219482421875,5
23,0.1215762495994567,887.1199951171875,97,244203.515625,0
24,0.1519612967967987,1547.431396484375,98,18659.630859375,0
25,0.085795372724533,16.783355712890625,97,4190.4169921875,0
26,0.1936144828796386,4606.447265625,96,9827.0654296875,0
27,0.026876451447606,0.050530701875686646,11,55.29555130004883,6
28,0.1715649962425232,0.21688346564769745,9,82.62065124511719,1
29,0.1208840906620025,754.0664672851562,93,3023.757080078125,1
30,0.1446563750505447,875.949462890625,98,6860.22802734375,0
31,0.1583811491727829,307.4528503417969,99,4416.13623046875,1
32,0.0988750159740448,1285.012451171875,94,32959.05859375,0
33,0.0640523582696914,0.12069139629602432,11,303.27325439453125,0
34,0.1603943556547165,232.44735717773438,99,4836.66455078125,0
35,0.110035739839077,1843.1920166015625,99,6238.064453125,0
36,0.1206670105457305,0.11016983538866043,99,170711.71875,0
37,0.0748423263430595,8.99954891204834,87,4625.73095703125,1
38,0.1708719581365585,0.20306293666362762,46,20.42831039428711,0
39,0.0738312676548957,0.1276082545518875,99,9851.1728515625,0
40,0.0569395646452903,0.2228337675333023,36,455.61767578125,2
41,0.179559051990509,2702.11181640625,99,18226.2265625,0
42,0.0563200265169143,0.571749210357666,12,53.71199417114258,4
43,0.0700857937335968,1946.4010009765625,96,169348.015625,0
44,0.1665345132350921,0.21536657214164734,99,54216.0859375,0
45,0.095262698829174,0.16287922859191895,71,21.841304779052734,2
46,0.1804832071065902,0.32218968868255615,9,27.24767303466797,7
47,0.133434310555458,0.14150837063789368,24,21437.6953125,0
48,0.0488934516906738,0.058817390352487564,12,13353.7900390625,0
49,0.1355236619710922,0.16204999387264252,11,80.89214324951172,12
50,0.1370381861925125,0.1536943018436432,41,2279.125732421875,1
51,0.0567069016396999,0.0714166983962059,11,36.701988220214844,6
52,0.1331720054149627,6879.732421875,96,19958.970703125,0
53,0.1149090304970741,0.12659159302711487,8,14879.7578125,0
54,0.1842409968376159,0.25897225737571716,12,2869.545166015625,0
55,0.1140689626336097,0.12201379984617233,99,425.9148864746094,5
56,0.0358250029385089,0.18797414004802704,99,54.00740432739258,1
57,0.0990573018789291,0.20810481905937195,14,311.8056945800781,0
58,0.1244476735591888,84.61058044433594,97,29860.666015625,0
59,0.1643653959035873,17.772245407104492,98,3177.5751953125,1
60,0.1340486854314804,37.781761169433594,99,28014.4296875,0
61,0.0282576661556959,0.11381009966135025,10,1397.1396484375,0
62,0.1377055794000625,0.16742686927318573,25,824.130126953125,2
63,0.1845880448818206,0.16196854412555695,42,28.114360809326172,8
64,0.0548846274614334,0.05806583911180496,99,624.5250854492188,1
65,0.1046575754880905,0.373063325881958,2,98.23672485351562,3
66,0.0902249440550804,0.19896943867206573,9,28052.140625,0
67,0.1512646526098251,0.16793905198574066,12,21051.1171875,0
68,0.1257424503564834,40.19664001464844,98,4708.53271484375,1
69,0.1727504879236221,0.19817155599594116,99,524.26025390625,1
70,0.0117963375523686,0.01640193723142147,99,16784.267578125,0
71,0.1406695395708084,209.9913330078125,99,4280.3046875,0
72,0.0500873774290084,0.04423825442790985,22,9.93524169921875,0
73,0.1953315138816833,1188.185546875,96,111318.734375,0
74,0.0467225275933742,0.1115855872631073,14,3423.634765625,0
75,0.0259113498032093,0.10452002286911011,99,6.463986873626709,12
76,0.1564670205116272,0.25226008892059326,99,2056.013427734375,0
77,0.1392348408699035,0.1770060509443283,99,664.7056274414062,1
78,0.0889056250452995,3328.667236328125,99,21510.93359375,0
79,0.0722125917673111,0.2761675715446472,13,99.42512512207031,1
80,0.1016120165586471,0.11093486100435257,16,45.781734466552734,1
81,0.182469755411148,3961.08984375,99,5211.8115234375,1
82,0.1774850040674209,178.5967254638672,98,8175.7822265625,0
83,0.1248722597956657,0.12864243984222412,99,410.2381286621094,0
84,0.0613568723201751,0.12341039627790451,14,55.31712341308594,2
85,0.1686655431985855,2791.3203125,99,237591.5,0
86,0.1655496060848236,0.28016191720962524,8,3310.84228515625,0
87,0.1923555731773376,0.23134218156337738,9,23892.048828125,0
88,0.0281148515641689,0.057536181062459946,11,2633.549072265625,0
89,0.1903538107872009,0.2164640724658966,38,568.1557006835938,2
90,0.1831563264131546,3454.50537109375,98,27832.275390625,0
