i,minNetCost,minNetCostIndex,firstIndexThatBeatIPOPT
0,0.17668744921684265,73,13
1,0.09783465415239334,96,21
2,3.3950278759002686,80,-1
3,1.651500940322876,96,-1
4,1.3005053997039795,79,-1
5,0.18289372324943542,86,-1
6,0.14328110218048096,82,34
7,0.8493965864181519,97,-1
8,5.123260498046875,93,-1
9,0.14570987224578857,97,10
10,4.164458751678467,92,-1
11,2.6877808570861816,85,-1
12,1.8428226709365845,86,-1
13,1.5718274116516113,99,-1
14,1.9857656955718994,99,-1
15,0.47262895107269287,99,-1
16,0.19087475538253784,97,28
17,0.1211521252989769,58,15
18,0.16052597761154175,90,15
19,0.006917900405824184,90,21
20,0.05476168915629387,81,9
21,0.03918765112757683,81,14
22,0.09180187433958054,96,32
23,1.053481101989746,95,-1
24,2.6217708587646484,60,-1
25,0.1209014505147934,97,-1
26,5.786360740661621,88,-1
27,0.02703455276787281,91,-1
28,0.15408013761043549,85,13
29,1.0159059762954712,95,-1
30,1.5132275819778442,63,-1
31,0.5187509059906006,91,-1
32,1.9684392213821411,73,-1
33,0.049495209008455276,76,16
34,0.4901198744773865,96,-1
35,2.3017818927764893,90,-1
36,0.0975589007139206,94,9
37,0.05797401815652847,93,20
38,0.14574329555034637,71,19
39,0.0648040845990181,94,29
40,0.04200679063796997,97,15
41,3.747793674468994,54,-1
42,0.048757560551166534,84,19
43,3.1596169471740723,55,-1
44,0.15377575159072876,94,20
45,0.10694081336259842,75,-1
46,0.18076777458190918,91,-1
47,0.1288846880197525,89,27
48,0.03047393076121807,88,9
49,0.12864097952842712,97,14
50,0.13912221789360046,93,-1
51,0.039981432259082794,84,11
52,7.446696758270264,84,-1
53,0.11053715646266937,99,15
54,0.12795007228851318,81,9
55,0.11022114008665085,96,25
56,0.029669994488358498,65,18
57,0.06306953728199005,70,3
58,0.22059020400047302,86,-1
59,0.1694193333387375,95,-1
60,0.17918643355369568,84,-1
61,0.01638958975672722,92,15
62,0.13166843354701996,95,16
63,0.15937715768814087,54,5
64,0.039128582924604416,88,14
65,0.0957648977637291,87,22
66,0.06539864093065262,62,9
67,0.13913768529891968,98,22
68,0.18175235390663147,93,-1
69,0.1691935956478119,81,34
70,0.005664943251758814,85,0
71,0.44346529245376587,78,-1
72,0.016784001141786575,97,3
73,1.6675063371658325,82,-1
74,0.02342030219733715,75,6
75,0.020672637969255447,92,20
76,0.10755062103271484,96,9
77,0.1290474534034729,93,9
78,4.375957489013672,59,-1
79,0.04687054455280304,91,10
80,0.09831242263317108,77,31
81,4.413430213928223,87,-1
82,0.44649672508239746,68,-1
83,0.12177229672670364,80,28
84,0.054902613162994385,76,28
85,3.61283278465271,79,-1
86,0.11148813366889954,89,3
87,0.18698745965957642,89,26
88,0.01327797956764698,97,13
89,0.1728118360042572,99,10
90,4.946699619293213,69,-1
91,0.18551774322986603,99,-1
92,0.07905156165361404,95,0
93,0.026176996529102325,82,13
94,0.018891338258981705,99,22
95,0.3008885681629181,92,-1
96,3.1284685134887695,88,-1
97,0.01209995150566101,92,14
98,0.10939618200063705,64,11
99,0.5953325033187866,96,-1
100,0.06723133474588394,98,10
101,0.1446264088153839,83,39
102,8.649428367614746,68,-1
103,0.127424955368042,99,9
104,2.221773386001587,96,-1
105,0.430735319852829,80,-1
106,0.10456448048353195,92,0
107,0.3956989347934723,95,-1
108,0.24547983705997467,97,-1
109,0.09723863750696182,93,13
110,0.17642202973365784,90,23
111,0.11277195811271667,57,10
112,0.16078464686870575,96,10
113,0.11845201253890991,82,10
114,1.8731337785720825,85,-1
115,0.14884713292121887,96,18
116,0.10815109312534332,86,20
117,0.11203217506408691,92,3
118,0.03435913845896721,96,25
119,0.03555135428905487,63,3
120,0.13040117919445038,93,6
121,0.054105244576931,80,15
122,4.203704357147217,90,-1
123,0.1374199390411377,92,10
124,0.10311473160982132,86,7
125,0.018581245094537735,97,16
126,0.08603627979755402,70,14
127,0.1399126946926117,95,0
128,0.4701293110847473,93,-1
129,2.0067238807678223,93,-1
130,0.13281464576721191,84,21
131,0.06017734855413437,95,0
132,0.13974443078041077,68,6
133,0.1453554928302765,91,10
134,0.08970832824707031,85,14
135,2.0972509384155273,95,-1
136,2.693436861038208,99,-1
137,0.0893293097615242,97,14
138,2.4779603481292725,65,-1
139,0.26431918144226074,81,-1
140,0.10618032515048981,89,31
141,5.36444616317749,81,-1
142,0.0024593209382146597,94,10
143,0.08644445985555649,91,27
144,0.09927774220705032,95,0
145,0.11651449650526047,89,-1
146,0.12003232538700104,81,17
147,0.09426785260438919,76,9
148,0.09502426534891129,78,0
149,0.13256607949733734,93,9
150,0.1287495642900467,99,-1
151,2.3573849201202393,91,-1
152,0.15749478340148926,85,14
153,0.03882838785648346,92,14
154,0.09762097895145416,83,12
155,0.08936285227537155,84,39
156,2.851670026779175,65,-1
157,0.048530519008636475,86,17
158,0.09907470643520355,85,29
159,0.10173377394676208,89,16
160,5.013214588165283,82,-1
161,0.06629810482263565,94,-1
162,0.07073134183883667,99,7
163,0.9026936292648315,90,-1
164,1.1333661079406738,75,-1
165,1.5602644681930542,57,-1
166,0.025329336524009705,81,25
167,0.17533789575099945,94,25
168,3.5433719158172607,58,-1
169,0.1455518901348114,90,41
170,0.14477671682834625,96,11
171,4.064266204833984,99,-1
172,0.1637161672115326,82,26
173,0.10193993896245956,99,18
174,0.1064407005906105,86,35
175,0.07051867246627808,87,39
176,4.993342399597168,93,-1
177,0.12590378522872925,93,28
