i,costIPOPT,minNetCost,minNetCostIndex,maxNetCost,maxNetCostIndex
0,0.1972273588180542,0.20924022793769836,99,6682475520.0,7
1,0.1014929711818695,2111.580322265625,0,inf,17
2,0.1299228966236114,32632.876953125,0,inf,25
3,0.0594653971493244,15525.154296875,0,inf,17
4,0.1343249976634979,5034.57275390625,0,inf,36
5,0.1527654230594635,25365.57421875,0,inf,47
6,0.1528872996568679,0.15438640117645264,99,85.49793243408203,0
7,0.1116110458970069,1612.029541015625,0,inf,26
8,0.1252814531326294,165366.671875,0,inf,16
9,0.1711593121290207,0.17648793756961823,99,5.001867294311523,0
10,0.1661969423294067,333751.5,0,inf,17
11,0.1839497536420822,9153.033203125,0,inf,24
12,0.1576066613197326,289964.71875,0,inf,21
13,0.1443276703357696,18533.06640625,0,inf,17
14,0.1366711407899856,32053.798828125,0,inf,18
15,0.1450777649879455,3022.205810546875,0,inf,24
16,0.1935069262981414,0.22800281643867493,24,inf,45
17,0.1452016234397888,0.18818822503089905,99,7.898833274841309,0
18,0.1671837121248245,0.1724884957075119,99,0.6244380474090576,0
19,0.0186527073383331,1472.3284912109375,0,inf,28
20,0.072668969631195,0.08764413744211197,99,1.9663070440292358,0
21,0.0560358762741088,0.26927223801612854,8,inf,40
22,0.0941237807273864,0.10396130383014679,99,99165.5078125,6
23,0.1215762495994567,244203.515625,0,inf,18
24,0.1519612967967987,18659.630859375,0,inf,49
25,0.085795372724533,4190.4169921875,0,inf,16
26,0.1936144828796386,9827.0654296875,0,inf,18
27,0.026876451447606,0.02869497425854206,99,90535428096.0,25
28,0.1715649962425232,0.17747415602207184,99,1.1787633895874023,0
29,0.1208840906620025,1416.3243408203125,0,inf,18
30,0.1446563750505447,6860.22802734375,0,inf,49
31,0.1583811491727829,377.70953369140625,0,inf,19
32,0.0988750159740448,13072.83984375,9,inf,37
33,0.0640523582696914,9.585424423217773,8,inf,33
34,0.1603943556547165,4836.66455078125,0,inf,18
35,0.110035739839077,6238.064453125,0,inf,20
36,0.1206670105457305,103185.0234375,1,inf,36
37,0.0748423263430595,13.904059410095215,0,inf,44
38,0.1708719581365585,0.3181179463863373,99,24.904130935668945,6
39,0.0738312676548957,9851.1728515625,0,inf,20
40,0.0569395646452903,166.06838989257812,0,inf,18
41,0.179559051990509,18226.2265625,0,inf,40
42,0.0563200265169143,0.10373444855213165,59,3.760833501815796,23
43,0.0700857937335968,169348.015625,0,inf,43
44,0.1665345132350921,54216.0859375,0,inf,17
45,0.095262698829174,0.11256688833236694,99,0.687564492225647,0
46,0.1804832071065902,0.2148863822221756,99,2.702428102493286,0
47,0.133434310555458,21437.6953125,0,inf,38
48,0.0488934516906738,13353.7900390625,0,inf,24
49,0.1355236619710922,0.14299236238002777,99,1.166243076324463,0
50,0.1370381861925125,3.2430455684661865,0,inf,22
51,0.0567069016396999,0.05577174946665764,99,3.927931547164917,0
52,0.1331720054149627,19958.970703125,0,inf,16
53,0.1149090304970741,10649.9091796875,1,inf,45
54,0.1842409968376159,1.0101515054702759,10,inf,96
55,0.1140689626336097,165.9715576171875,0,inf,26
56,0.0358250029385089,0.0383453331887722,99,0.8890348672866821,0
57,0.0990573018789291,0.14425592124462128,99,3358742808625152.0,6
58,0.1244476735591888,29860.666015625,0,inf,59
59,0.1643653959035873,63.17121887207031,0,inf,60
60,0.1340486854314804,28014.4296875,0,inf,33
61,0.0282576661556959,1397.1396484375,0,inf,19
62,0.1377055794000625,428.5284118652344,0,inf,17
63,0.1845880448818206,0.1771497130393982,99,7.100818157196045,0
64,0.0548846274614334,0.06034494936466217,99,0.3617601692676544,0
65,0.1046575754880905,0.13664358854293823,99,1.2833642959594727,0
66,0.0902249440550804,9658.6923828125,1,inf,38
67,0.1512646526098251,21051.1171875,0,inf,18
68,0.1257424503564834,68.94095611572266,0,inf,18
69,0.1727504879236221,0.19254209101200104,29,inf,79
70,0.0117963375523686,0.16370266675949097,8,inf,68
71,0.1406695395708084,4280.3046875,0,inf,23
72,0.0500873774290084,0.06979405879974365,43,inf,65
73,0.1953315138816833,111318.734375,0,inf,22
74,0.0467225275933742,3423.634765625,0,inf,23
75,0.0259113498032093,0.028448086231946945,99,1.141383409500122,0
76,0.1564670205116272,2056.013427734375,0,inf,21
77,0.1392348408699035,0.14047344028949738,95,0.22411641478538513,0
78,0.0889056250452995,21510.93359375,0,inf,23
79,0.0722125917673111,0.08395473659038544,99,2.029528856277466,0
80,0.1016120165586471,0.1075299084186554,99,0.22164122760295868,0
81,0.182469755411148,5181.96826171875,0,inf,17
82,0.1774850040674209,8175.7822265625,0,inf,45
83,0.1248722597956657,49.39506149291992,14,inf,60
84,0.0613568723201751,0.06619378924369812,99,0.37344294786453247,0
85,0.1686655431985855,237591.5,0,inf,21
86,0.1655496060848236,3310.84228515625,0,inf,22
87,0.1923555731773376,23892.048828125,0,inf,21
88,0.0281148515641689,1.1220608949661255,9,inf,19
89,0.1903538107872009,0.6672859787940979,8,inf,21
90,0.1831563264131546,27832.275390625,0,inf,41
91,0.1831563413143158,38950.96875,0,inf,20
92,0.1064231470227241,29172.3359375,0,inf,16
93,0.0480156950652599,2881.576416015625,0,inf,24
94,0.0212920121848583,104.0842514038086,0,inf,20
95,0.1232095062732696,17519.052734375,0,inf,35
96,0.1430000960826873,12756.8271484375,0,inf,19
97,0.0253713522106409,0.031797297298908234,99,32169227452416.0,6
98,0.1174095496535301,0.12090499699115753,99,0.8419094681739807,0
