i,cost,numIterations,objectiveScaled,objectiveUnscaled,dualInfeasibilityScaled,dualInfeasibilityUnscaled,constraintViolationScaled,constraintViolationUnscaled,variableBoundViolationScaled,variableBoundViolationUnscaled,complementarityScaled,complementarityUnscaled,overallNLPErrorScaled,overallNLPErrorUnscaled,numObjectiveFunctionEvals,numObjectiveGradientEvals,numEqualityConstraintEvals,numInequalityConstraintEvals,numEqualityConstraintJacobianEvals,numInequalityConstraintJacobianEvals,numLagrangianHessianEvals,totalSeconds,convergedToOptimalFlag
0,0.1972273588180542,16,0.2675050008633937,0.2675050008633937,2.5066257888064467e-14,2.5066257888064467e-14,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,7.790569053405649e-09,7.790569053405649e-09,7.790569053405649e-09,7.790569053405649e-09,17,17,17,0,17,0,16,0.236,1
1,0.1014929711818695,15,0.09481041116252156,0.09481041116252156,9.094291300275706e-15,9.094291300275706e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,3.955312243109938e-09,3.955312243109938e-09,3.955312243109938e-09,3.955312243109938e-09,16,16,16,0,16,0,15,0.032,1
2,0.12992288172245026,41,0.07076215065426857,0.07076215065426857,0.00017684948097711732,0.00017684948097711732,0.08766693522357183,0.08766693522357183,9.992707716843796e-09,9.992707716843796e-09,3.3905533057480357e-08,3.3905533057480357e-08,0.08766693522357183,0.08766693522357183,54,26,54,0,47,0,42,0.284,0
3,0.05946539714932442,42,0.03926202937111344,0.03926202937111344,0.0012271903384865957,0.0012271903384865957,0.2593621903933007,0.2593621903933007,9.996806049628049e-09,9.996806049628049e-09,1.6976469682952663e-08,1.6976469682952663e-08,0.2593621903933007,0.2593621903933007,64,23,64,0,48,0,43,0.058,0
4,0.13444894552230835,75,0.06985503404311398,0.06985503404311398,0.0001703565047676722,0.0001703565047676722,0.015039680685239074,0.015039680685239074,9.986387938809571e-09,9.986387938809571e-09,2.896617166541198e-09,2.896617166541198e-09,0.015039680685239074,0.015039680685239074,102,48,102,0,84,0,76,0.657,0
5,0.15277540683746338,223,0.13033020938686363,0.13033020938686363,0.00018263405956956918,0.00018263405956956918,0.0029882909479576314,0.0029882909479576314,1.61789011077218e-08,1.61789011077218e-08,1.1375242710287378e-08,1.1375242710287378e-08,0.0029882909479576314,0.0029882909479576314,260,88,260,0,234,0,224,4.709,0
6,0.15288729965686798,20,0.0809648686315319,0.0809648686315319,2.506547834478339e-14,2.506547834478339e-14,5.551115123125783e-16,5.551115123125783e-16,0.0,0.0,3.944484880051511e-09,3.944484880051511e-09,3.944484880051511e-09,3.944484880051511e-09,21,21,21,0,21,0,20,0.141,1
7,0.11161576211452484,78,0.05990518775089481,0.05990518775089481,0.00019863695910491688,0.00019863695910491688,0.19028266661946097,0.19028266661946097,9.99042026883501e-09,9.99042026883501e-09,3.6939099853080557e-09,3.6939099853080557e-09,0.19028266661946097,0.19028266661946097,95,36,95,0,84,0,79,0.557,0
8,0.1252814531326294,35,0.25457163464644267,0.25457163464644267,0.002084761999890047,0.002084761999890047,0.4351849418770732,0.4351849418770732,3.124451275482443e-08,3.124451275482443e-08,5.8345014395798977e-08,5.8345014395798977e-08,0.4351849418770732,0.4351849418770732,41,16,41,0,39,0,36,0.071,0
9,0.1711593121290207,20,0.2302108213162762,0.2302108213162762,9.096846706446934e-15,9.096846706446934e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,0.0,2.4132906263765194e-09,2.4132906263765194e-09,2.4132906263765194e-09,2.4132906263765194e-09,21,21,21,0,21,0,20,0.085,1
